id,Ciudad,Latitud,Logitud,GPS,Importancia,Ventas,Estado
558,MEDELLIN,6.243415459,-75.56249173,6.24341545855719;-75.5624917305666,5,289634,CERRADO
559,MEDELLIN,6.232591531,-75.56002061,6.232591531;-75.56002061,4,318414,CERRADO
560,MEDELLIN,6.28728547,-75.56232974,6.28728547;-75.56232974,4,170661,CERRADO
561,MEDELLIN,6.251052856,-75.56919861,6.25105285645;-75.5691986084,2,151391,CERRADO
562,MEDELLIN,6.277743366,-75.57652193,6.27774336619651;-75.5765219287737,5,162611,CERRADO
563,MEDELLIN,6.290953724,-75.54352784,6.29095372410405;-75.5435278372877,3,393127,CERRADO
564,MEDELLIN,6.265272141,-75.54150391,6.2652721405;-75.5415039062,5,220935,CERRADO
565,MEDELLIN,6.297958255,-75.5688893,6.2979582552666;-75.5688893041455,4,233978,CERRADO
566,MEDELLIN,6.289620399,-75.58532715,6.28962039948;-75.5853271484,4,289227,CERRADO
567,MEDELLIN,6.258774782,-75.55655799,6.258774782;-75.55655799,5,415010,CERRADO
568,MEDELLIN,6.249984358,-75.56843903,6.2499843575728;-75.5684390334046,1,154727,CERRADO
569,MEDELLIN,6.244931698,-75.5435791,6.24493169785;-75.5435791016,5,399407,CERRADO
570,MEDELLIN,6.183410722,-75.65266434,6.18341072239584;-75.6526643376322,4,189987,CERRADO
571,MEDELLIN,6.232579387,-75.54400447,6.23257938708341;-75.5440044719869,1,185391,CERRADO
572,MEDELLIN,6.241733551,-75.55470276,6.24173355103;-75.5547027588,5,195168,CERRADO
573,MEDELLIN,6.280550003,-75.57255554,6.28055000305;-75.572555542,4,324525,CERRADO
574,MEDELLIN,6.24826479,-75.5573349,6.24826478958;-75.5573348999,1,323452,CERRADO
575,MEDELLIN,6.295405531,-75.55770608,6.29540553144958;-75.557706077595,2,179997,CERRADO
576,MEDELLIN,6.247827061,-75.59649186,6.24782706061372;-75.5964918610562,2,368245,CERRADO
577,MEDELLIN,6.306970119,-75.57196045,6.30697011948;-75.5719604492,2,169572,CERRADO
578,MEDELLIN,6.274014473,-75.61095428,6.27401447296;-75.6109542847,1,309949,CERRADO
579,MEDELLIN,6.273891458,-75.61072011,6.27389145844246;-75.6107201108342,5,274490,CERRADO
580,MEDELLIN,6.248862573,-75.54333782,6.24886257321;-75.5433378163,1,391979,CERRADO
581,MEDELLIN,6.24214649,-75.5727518,6.2421464902;-75.5727517971,4,315156,CERRADO
582,MEDELLIN,6.305560112,-75.55564117,6.305560112;-75.5556411743,4,359201,CERRADO
583,MEDELLIN,6.2910485,-75.5469885,6.2910485;-75.5469885,2,216546,CERRADO
584,MEDELLIN,6.263653278,-75.54332733,6.26365327835;-75.5433273315,2,418536,CERRADO
585,MEDELLIN,6.23163417,-75.59361902,6.23163417020749;-75.5936190245861,3,302424,CERRADO
586,MEDELLIN,6.213016117,-75.58383125,6.21301611735706;-75.5838312542876,5,211436,CERRADO
587,MEDELLIN,6.21347725,-75.58531673,6.21347725;-75.58531673,2,231046,CERRADO
588,MEDELLIN,6.236049968,-75.59160742,6.23604996773115;-75.5916074205536,5,323802,ABIERTO
589,MEDELLIN,6.286769704,-75.54614858,6.28676970440744;-75.5461485770891,5,246118,ABIERTO
590,MEDELLIN,6.302323993,-75.56619829,6.302323993295431;-75.56619828566909,5,361297,ABIERTO
591,MEDELLIN,6.2455391,-75.6208844,6.2455391;-75.6208844,3,251892,ABIERTO
592,MEDELLIN,6.303160191,-75.5584259,6.30316019058;-75.5584259033,1,412990,ABIERTO
593,MEDELLIN,6.260290146,-75.59028625,6.26029014587;-75.5902862549,4,365816,ABIERTO
594,MEDELLIN,6.236658573,-75.59671783,6.23665857315;-75.5967178345,2,315171,ABIERTO
595,MEDELLIN,6.286668761,-75.57139807,6.28666876100817;-75.5713980713759,1,218629,ABIERTO
596,MEDELLIN,6.277899363,-75.57761079,6.27789936300447;-75.577610792265,2,294280,ABIERTO
597,MEDELLIN,6.255497932,-75.60281372,6.25549793243;-75.6028137207,4,297731,ABIERTO
598,MEDELLIN,6.290023418,-75.57318165,6.29002341843465;-75.5731816457665,3,332289,ABIERTO
599,MEDELLIN,6.251375106,-75.56334716,6.25137510647252;-75.5633471643888,3,208055,ABIERTO
600,MEDELLIN,6.295981884,-75.58482361,6.295981884;-75.5848236084,2,240209,ABIERTO
601,MEDELLIN,6.269910532,-75.54007124,6.26991053249;-75.5400712359,1,411318,ABIERTO
602,MEDELLIN,6.258676215,-75.55215154,6.25867621496509;-75.552151539133,2,280061,ABIERTO
